admin1,admin2,market,market_id,latitude,longitude,category,commodity,commodity_id
Kinshasa,Kinshasa,Kinshasa,144,-4.3,15.3,céréales et tubercules,farine de manioc,74
Kinshasa,Kinshasa,Kinshasa,144,-4.3,15.3,céréales et tubercules,riz importé,64
Kinshasa,Kinshasa,Kinshasa,144,-4.3,15.3,légumineuses et noix,haricots,50
Kinshasa,Kinshasa,Kinshasa,144,-4.3,15.3,légumes et fruits,plantains,147
Equateur,Bomongo,Mbandaka,146,0.07,18.27,céréales et tubercules,manioc,68
Equateur,Bomongo,Mbandaka,146,0.07,18.27,céréales et tubercules,farine de manioc,74
Equateur,Bomongo,Mbandaka,146,0.07,18.27,céréales et tubercules,maïs,51
Equateur,Bomongo,Mbandaka,146,0.07,18.27,céréales et tubercules,farine de maïs,76
Equateur,Bomongo,Mbandaka,146,0.07,18.27,céréales et tubercules,riz importé,64
Equateur,Bomongo,Mbandaka,146,0.07,18.27,céréales et tubercules,riz local,71
Equateur,Bomongo,Mbandaka,146,0.07,18.27,céréales et tubercules,farine de blé,58
Equateur,Bomongo,Mbandaka,146,0.07,18.27,"viande, poisson et œufs",poisson frais,401
Equateur,Bomongo,Mbandaka,146,0.07,18.27,"viande, poisson et œufs",viande de bœuf,141
Equateur,Bomongo,Mbandaka,146,0.07,18.27,"viande, poisson et œufs",viande de poulet,94
Equateur,Bomongo,Mbandaka,146,0.07,18.27,huiles et matières grasses,huile de palme,62
Equateur,Bomongo,Mbandaka,146,0.07,18.27,légumineuses et noix,haricots,50
Equateur,Bomongo,Mbandaka,146,0.07,18.27,légumes et fruits,plantains,147
Haut-Katanga,Lubumbashi,Lubumbashi,145,-11.67,27.47,céréales et tubercules,manioc,68
Haut-Katanga,Lubumbashi,Lubumbashi,145,-11.67,27.47,céréales et tubercules,farine de manioc,74
Haut-Katanga,Lubumbashi,Lubumbashi,145,-11.67,27.47,céréales et tubercules,maïs,51
Haut-Katanga,Lubumbashi,Lubumbashi,145,-11.67,27.47,céréales et tubercules,farine de maïs,76
Haut-Katanga,Lubumbashi,Lubumbashi,145,-11.67,27.47,céréales et tubercules,riz importé,64
Haut-Katanga,Lubumbashi,Lubumbashi,145,-11.67,27.47,céréales et tubercules,riz local,71
Haut-Katanga,Lubumbashi,Lubumbashi,145,-11.67,27.47,céréales et tubercules,farine de blé,58
Haut-Katanga,Lubumbashi,Lubumbashi,145,-11.67,27.47,"viande, poisson et œufs",poisson frais,401
Haut-Katanga,Lubumbashi,Lubumbashi,145,-11.67,27.47,"viande, poisson et œufs",viande de bœuf,141
Haut-Katanga,Lubumbashi,Lubumbashi,145,-11.67,27.47,"viande, poisson et œufs",viande de poulet,94
Haut-Katanga,Lubumbashi,Lubumbashi,145,-11.67,27.47,huiles et matières grasses,huile de palme,62
Haut-Katanga,Lubumbashi,Lubumbashi,145,-11.67,27.47,légumineuses et noix,haricots,50
Haut-Katanga,Lubumbashi,Lubumbashi,145,-11.67,27.47,légumes et fruits,plantains,147
Ituri,Bunia,Bunia,151,1.57,30.25,céréales et tubercules,manioc,68
Ituri,Bunia,Bunia,151,1.57,30.25,céréales et tubercules,farine de manioc,74
Ituri,Bunia,Bunia,151,1.57,30.25,céréales et tubercules,maïs,51
Ituri,Bunia,Bunia,151,1.57,30.25,céréales et tubercules,farine de maïs,76
Ituri,Bunia,Bunia,151,1.57,30.25,céréales et tubercules,riz importé,64
Ituri,Bunia,Bunia,151,1.57,30.25,céréales et tubercules,riz local,71
Ituri,Bunia,Bunia,151,1.57,30.25,céréales et tubercules,farine de blé,58
Ituri,Bunia,Bunia,151,1.57,30.25,"viande, poisson et œufs",poisson frais,401
Ituri,Bunia,Bunia,151,1.57,30.25,"viande, poisson et œufs",viande de bœuf,141
Ituri,Bunia,Bunia,151,1.57,30.25,"viande, poisson et œufs",viande de poulet,94
Ituri,Bunia,Bunia,151,1.57,30.25,huiles et matières grasses,huile de palme,62
Ituri,Bunia,Bunia,151,1.57,30.25,légumes et fruits,plantains,147
Kinshasa,Kinshasa,Kinshasa,144,-4.3,15.3,céréales et tubercules,manioc,68
Kinshasa,Kinshasa,Kinshasa,144,-4.3,15.3,céréales et tubercules,maïs,51
Kinshasa,Kinshasa,Kinshasa,144,-4.3,15.3,céréales et tubercules,farine de maïs,76
Kinshasa,Kinshasa,Kinshasa,144,-4.3,15.3,céréales et tubercules,riz local,71
Kinshasa,Kinshasa,Kinshasa,144,-4.3,15.3,céréales et tubercules,farine de blé,58
Kinshasa,Kinshasa,Kinshasa,144,-4.3,15.3,"viande, poisson et œufs",poisson frais,401
Kinshasa,Kinshasa,Kinshasa,144,-4.3,15.3,"viande, poisson et œufs",viande de bœuf,141
Kinshasa,Kinshasa,Kinshasa,144,-4.3,15.3,"viande, poisson et œufs",viande de poulet,94
Kinshasa,Kinshasa,Kinshasa,144,-4.3,15.3,huiles et matières grasses,huile de palme,62
Maniema,Kindu,Kindu,149,-2.95,25.95,céréales et tubercules,manioc,68
Maniema,Kindu,Kindu,149,-2.95,25.95,céréales et tubercules,farine de manioc,74
Maniema,Kindu,Kindu,149,-2.95,25.95,céréales et tubercules,maïs,51
Maniema,Kindu,Kindu,149,-2.95,25.95,céréales et tubercules,farine de maïs,76
Maniema,Kindu,Kindu,149,-2.95,25.95,céréales et tubercules,riz importé,64
Maniema,Kindu,Kindu,149,-2.95,25.95,céréales et tubercules,riz local,71
Maniema,Kindu,Kindu,149,-2.95,25.95,céréales et tubercules,farine de blé,58
Maniema,Kindu,Kindu,149,-2.95,25.95,"viande, poisson et œufs",poisson frais,401
Maniema,Kindu,Kindu,149,-2.95,25.95,"viande, poisson et œufs",viande de bœuf,141
Maniema,Kindu,Kindu,149,-2.95,25.95,"viande, poisson et œufs",viande de poulet,94
Maniema,Kindu,Kindu,149,-2.95,25.95,huiles et matières grasses,huile de palme,62
Maniema,Kindu,Kindu,149,-2.95,25.95,légumineuses et noix,haricots,50
Maniema,Kindu,Kindu,149,-2.95,25.95,légumes et fruits,plantains,147
Sud-Kivu,Bukavu,Nyawera,150,-2.51,28.86,céréales et tubercules,manioc,68
Sud-Kivu,Bukavu,Nyawera,150,-2.51,28.86,céréales et tubercules,farine de manioc,74
Sud-Kivu,Bukavu,Nyawera,150,-2.51,28.86,céréales et tubercules,maïs,51
Sud-Kivu,Bukavu,Nyawera,150,-2.51,28.86,céréales et tubercules,farine de maïs,76
Sud-Kivu,Bukavu,Nyawera,150,-2.51,28.86,céréales et tubercules,riz importé,64
Sud-Kivu,Bukavu,Nyawera,150,-2.51,28.86,céréales et tubercules,riz local,71
